Group Name,Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
,undergrad,ET,Computer science/electrical engineering,learner,None,None
group_name,research,US,,,None,None
group_name,support,NL,"Chemistry, Physics",helper,None,Primary instructor for a full course
,,NL,"Computer science/electrical engineering, High performance computing","helper, organizer",A workshop,Primary instructor for a full course
,grad,NL,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, learner, contributor",None,A few hours
group_name,grad,NL,"Planetary sciences (geology, climatology, oceanography, etc.)",helper,A certification or short course,Primary instructor for a full course
group_name,research,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A workshop,Primary instructor for a full course
,librarian,US,"Library and information science, Social sciences",,None,A few hours
group_name,grad,US,"Genetics, genomics, bioinformatics",,A certification or short course,Other
group_name,faculty,US,"Education, Mathematics/statistics","helper, learner",A full degree,Primary instructor for a full course
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A few hours,Other
group_name,undisclosed,US,,,None,A few hours
group_name,undisclosed,AU,,"helper, instructor, host, organizer",None,None
group_name,,AU,"Education, Mathematics/statistics, Psychology/neuroscience, Social sciences","helper, organizer",None,Other
,,AU,"Chemistry, Genetics, genomics, bioinformatics, Humanities, Social sciences",helper,Other,Primary instructor for a full course
,,AU,"Genetics, genomics, bioinformatics, Mathematics/statistics, Physics",,A certification or short course,Primary instructor for a full course
group_name,support,AU,"Education, Humanities, Social sciences",helper,A workshop,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,Other,Other
,commerce,RS,Computer science/electrical engineering,,None,Primary instructor for a full course
,grad,BW,"Computer science/electrical engineering, High performance computing",learner,A workshop,Primary instructor for a full course
,commerce,CA,"Computer science/electrical engineering, Mathematics/statistics, Physics",,A workshop,Primary instructor for a full course
,postdoc,US,Economics/business,,None,None
,,US,,,None,None
,,BW,Computer science/electrical engineering,learner,Other,A few hours
group_name,grad,US,"Computer science/electrical engineering, Education, Mathematics/statistics",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Computer science/electrical engineering, Education, Mathematics/statistics",learner,A certification or short course,Primary instructor for a full course
,,US,Mathematics/statistics,,None,Other
,research,AU,"Mathematics/statistics, Physics, Space sciences",,None,A few hours
group_name,research,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,A workshop,Primary instructor for a full course
,research,AU,"Computer science/electrical engineering, Mathematics/statistics",helper,None,A few hours
,postdoc,US,,learner,A few hours,A few hours
group_name,support,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
,grad,BW,"Computer science/electrical engineering, Education, Mathematics/statistics",helper,Other,Other
group_name,,US,,,None,None
,faculty,US,,,A workshop,Primary instructor for a full course
,faculty,IN,"Computer science/electrical engineering, Education, Social sciences, Space sciences",learner,None,None
,commerce,BW,Computer science/electrical engineering,helper,None,None
group_name,faculty,TZ,Computer science/electrical engineering,learner,None,Other
group_name,grad,US,Physics,learner,A few hours,Primary instructor for a full course
,research,US,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, High performance computing, Physics",,A certification or short course,Primary instructor for a full course
,grad,BW,Computer science/electrical engineering,"helper, learner",None,Primary instructor for a full course
group_name,postdoc,BR,"Organismal biology (ecology, botany, zoology, microbiology)",,,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",,None,A few hours
,research,US,"Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Primary instructor for a full course
group_name,grad,US,Computer science/electrical engineering,,None,None
group_name,grad,US,"Computer science/electrical engineering, Library and information science",,None,Other
group_name,librarian,US,"Humanities, Library and information science, Social sciences",,A full degree,Primary instructor for a full course
group_name,research,US,Medicine,,None,None
group_name,commerce,CU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",host,A certification or short course,A few hours
group_name,grad,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics","helper, instructor",None,A few hours
group_name,research,US,"Education, Humanities, Social sciences",,None,Primary instructor for a full course
group_name,grad,US,"Mathematics/statistics, Medicine",learner,A certification or short course,Primary instructor for a full course
,commerce,US,Economics/business,,Other,Primary instructor for a full course
,faculty,CR,Mathematics/statistics,"helper, learner",A certification or short course,Primary instructor for a full course
,grad,AU,"Genetics, genomics, bioinformatics, High performance computing","helper, instructor",None,None
group_name,,US,Medicine,,A certification or short course,Primary instructor for a full course
group_name,librarian,US,"Genetics, genomics, bioinformatics, Library and information science, Mathematics/statistics",helper,None,Primary instructor for a full course
,support,ZA,"Education, Humanities, Library and information science",learner,None,None
,librarian,ZA,Library and information science,learner,A few hours,A few hours
,,US,Mathematics/statistics,,None,Other
,faculty,US,"Chemistry, Genetics, genomics, bioinformatics, Library and information science, Medicine, Organismal biology (ecology, botany, zoology, microbiology), Physics","helper, learner",None,A few hours
group_name,support,US,,helper,A few hours,A few hours
group_name,undisclosed,US,,,A certification or short course,Primary instructor for a full course
,support,DE,"Genetics, genomics, bioinformatics",helper,None,Primary instructor for a full course
group_name,,US,"Computer science/electrical engineering, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",,Other,None
,postdoc,CA,"Computer science/electrical engineering, Economics/business, Humanities, Library and information science, Social sciences",learner,A certification or short course,A few hours
,commerce,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics",,Other,Primary instructor for a full course
group_name,research,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",,None,None
group_name,commerce,US,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",,None,A few hours
group_name,commerce,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
,faculty,ET,"Computer science/electrical engineering, Economics/business, Education, High performance computing, Mathematics/statistics",,A full degree,Primary instructor for a full course
,commerce,US,"Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences, Space sciences","helper, learner",A certification or short course,Primary instructor for a full course
group_name,,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A few hours,Primary instructor for a full course
group_name,support,US,"Mathematics/statistics, Physics, Psychology/neuroscience",,A workshop,Other
,postdoc,GB,"Chemistry, Computer science/electrical engineering, Psychology/neuroscience",,A workshop,A few hours
group_name,research,US,"High performance computing, Physics",helper,None,None
group_name,research,US,"Genetics, genomics, bioinformatics",learner,A certification or short course,Primary instructor for a full course
group_name,librarian,US,"Humanities, Library and information science",,A full degree,Primary instructor for a full course
group_name,,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Primary instructor for a full course
group_name,research,US,Computer science/electrical engineering,,None,A few hours
group_name,support,US,,helper,None,A few hours
group_name,librarian,ZA,"Humanities, Library and information science",,A few hours,None
,grad,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Physics",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",helper,None,Primary instructor for a full course
group_name,librarian,US,"Computer science/electrical engineering, Library and information science",,A few hours,Primary instructor for a full course
group_name,support,US,"Computer science/electrical engineering, Library and information science","helper, learner",A few hours,A few hours
group_name,research,US,"Computer science/electrical engineering, High performance computing",helper,None,None
group_name,librarian,US,Library and information science,,A workshop,A few hours
group_name,librarian,US,"Chemistry, Library and information science, Medicine, Organismal biology (ecology, botany, zoology, microbiology), Physics, Social sciences",,A few hours,Primary instructor for a full course
,faculty,BW,"Computer science/electrical engineering, High performance computing",,None,Primary instructor for a full course
,grad,GB,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A few hours,Other
,faculty,US,"Education, Mathematics/statistics",,A full degree,Primary instructor for a full course
group_name,librarian,AU,Library and information science,"helper, learner, contributor",A workshop,Primary instructor for a full course
group_name,grad,US,"Chemistry, High performance computing","helper, learner",A few hours,Other
group_name,grad,US,"Genetics, genomics, bioinformatics",learner,A few hours,Primary instructor for a full course
group_name,postdoc,US,Mathematics/statistics,,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics","helper, learner",None,A few hours
group_name,research,US,Physics,,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Physics, Space sciences","helper, learner",A workshop,Other
group_name,grad,US,Humanities,learner,A certification or short course,Primary instructor for a full course
,research,US,"Civil, mechanical, chemical, or nuclear engineering, Education, High performance computing",,A workshop,A few hours
group_name,research,US,"Computer science/electrical engineering, Physics",,A certification or short course,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, High performance computing, Social sciences",,A workshop,Other
,,NO,"Civil, mechanical, chemical, or nuclear engineering","helper, learner",None,None
group_name,postdoc,DE,"Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Primary instructor for a full course
group_name,librarian,AU,Library and information science,"helper, instructor, learner",A certification or short course,A few hours
group_name,research,US,Physics,,A few hours,Primary instructor for a full course
,grad,US,"Civil, mechanical, chemical, or nuclear engineering",learner,A few hours,A few hours
group_name,support,US,Library and information science,,A full degree,A few hours
,support,NG,"Computer science/electrical engineering, Library and information science",,None,Primary instructor for a full course
,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A certification or short course,Primary instructor for a full course
group_name,research,US,Physics,,A certification or short course,Primary instructor for a full course
,research,US,"Chemistry, High performance computing, Mathematics/statistics, Physics",learner,A workshop,Primary instructor for a full course
,undisclosed,PK,"Computer science/electrical engineering, Mathematics/statistics, Physics",,None,None
group_name,research,ZA,"Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",instructor,A certification or short course,Primary instructor for a full course
group_name,support,AU,"Computer science/electrical engineering, Library and information science","helper, learner",None,A few hours
group_name,postdoc,AU,Physics,"helper, instructor, learner, contributor",A workshop,Primary instructor for a full course
group_name,support,US,Computer science/electrical engineering,"helper, instructor",A few hours,A few hours
group_name,support,US,"High performance computing, Mathematics/statistics, Physics, Space sciences",,A workshop,Primary instructor for a full course
,research,ET,"Education, Humanities",helper,A certification or short course,Other
,support,ZA,Computer science/electrical engineering,,A workshop,Other
group_name,commerce,US,"Computer science/electrical engineering, High performance computing",,None,Other
,postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",,A certification or short course,Primary instructor for a full course
group_name,,US,Physics,,A few hours,Primary instructor for a full course
,faculty,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","host, learner, organizer",A workshop,Primary instructor for a full course
,support,GB,"Computer science/electrical engineering, Economics/business, Education",,None,None
,grad,ZA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Other
group_name,undisclosed,AU,"Physics, Space sciences",helper,Other,Primary instructor for a full course
group_name,research,US,"Mathematics/statistics, Physics",,Other,Other
group_name,postdoc,US,,,A workshop,Other
group_name,,US,"Computer science/electrical engineering, High performance computing",contributor,A workshop,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,Other,Primary instructor for a full course
group_name,research,US,Computer science/electrical engineering,,None,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics, Physics",helper,A certification or short course,Primary instructor for a full course
group_name,support,US,Physics,,Other,Primary instructor for a full course
group_name,research,US,"Chemistry, High performance computing",,A certification or short course,Primary instructor for a full course
group_name,research,US,Computer science/electrical engineering,,A few hours,Primary instructor for a full course
,undisclosed,DE,,,None,None
,librarian,CA,"Computer science/electrical engineering, Library and information science, Mathematics/statistics",learner,A workshop,Primary instructor for a full course
,,US,Social sciences,,A workshop,A few hours
,research,US,Computer science/electrical engineering,"helper, host, organizer",None,None
group_name,research,US,"Chemistry, Computer science/electrical engineering, High performance computing",,A workshop,A few hours
group_name,postdoc,US,"Chemistry, High performance computing, Mathematics/statistics, Physics",,A workshop,Primary instructor for a full course
group_name,support,US,"Computer science/electrical engineering, Mathematics/statistics",,A workshop,Primary instructor for a full course
,faculty,AU,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",helper,A certification or short course,Primary instructor for a full course
,research,US,High performance computing,learner,None,A few hours
,grad,US,"Genetics, genomics, bioinformatics",,A few hours,A few hours
,grad,ZA,"High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,A few hours
group_name,postdoc,AU,"Genetics, genomics, bioinformatics, High performance computing",instructor,A certification or short course,Primary instructor for a full course
group_name,support,AU,,"host, learner, organizer",None,A few hours
,,US,Mathematics/statistics,learner,A workshop,Primary instructor for a full course
,postdoc,ZA,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",,None,None
group_name,,AU,"Computer science/electrical engineering, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,None,Primary instructor for a full course
group_name,postdoc,AU,Social sciences,"helper, instructor",A certification or short course,Primary instructor for a full course
,commerce,CO,"Education, High performance computing, Physics",learner,None,Primary instructor for a full course
group_name,support,ZA,"Computer science/electrical engineering, Education",helper,A full degree,Primary instructor for a full course
,research,GB,"Computer science/electrical engineering, Library and information science",learner,None,A few hours
group_name,support,GB,"High performance computing, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,A few hours,A few hours
,faculty,CA,"Education, Organismal biology (ecology, botany, zoology, microbiology), Social sciences",helper,None,Primary instructor for a full course
,postdoc,US,"Computer science/electrical engineering, Mathematics/statistics",,None,A few hours
,grad,ZA,"Genetics, genomics, bioinformatics","helper, learner",None,A few hours
,postdoc,ZA,"Genetics, genomics, bioinformatics","helper, learner",None,A few hours
group_name,support,AU,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",,None,A few hours
,postdoc,US,Computer science/electrical engineering,learner,None,A few hours
,grad,CA,"Mathematics/statistics, Psychology/neuroscience",learner,A few hours,Other
,undisclosed,ZA,"Mathematics/statistics, Medicine","helper, host, learner, contributor",Other,A few hours
,support,MU,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",learner,None,None
group_name,postdoc,AU,"Humanities, Social sciences",helper,A certification or short course,Primary instructor for a full course
,support,ZA,"Humanities, Library and information science","host, learner, organizer, contributor",A workshop,A few hours
,grad,ZA,Humanities,learner,None,Primary instructor for a full course
,faculty,NL,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,Primary instructor for a full course
,undisclosed,ZA,"Education, Humanities",learner,A certification or short course,A few hours
group_name,postdoc,BW,"Computer science/electrical engineering, Education, High performance computing",learner,None,None
group_name,grad,ZA,Mathematics/statistics,learner,A workshop,Primary instructor for a full course
group_name,faculty,US,"Library and information science, Mathematics/statistics, Medicine, Social sciences",,None,Primary instructor for a full course
,faculty,BW,"Computer science/electrical engineering, High performance computing",learner,None,Primary instructor for a full course
group_name,research,ZA,Mathematics/statistics,,None,Primary instructor for a full course
,grad,ZA,Library and information science,,None,None
group_name,research,NZ,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics","helper, instructor",None,Primary instructor for a full course
group_name,support,NZ,Computer science/electrical engineering,helper,A certification or short course,Primary instructor for a full course
,postdoc,ES,"Computer science/electrical engineering, Psychology/neuroscience",learner,A certification or short course,Primary instructor for a full course
,research,ZA,Mathematics/statistics,instructor,None,Primary instructor for a full course
,support,ZA,"Humanities, Social sciences",,A workshop,Primary instructor for a full course
group_name,undisclosed,AU,,,A workshop,None
group_name,support,AU,"High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
,postdoc,US,"Computer science/electrical engineering, Mathematics/statistics, Psychology/neuroscience",learner,A workshop,Other
,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,Primary instructor for a full course
group_name,librarian,ZA,"Humanities, Library and information science",learner,None,Other
,research,ZA,Computer science/electrical engineering,,A certification or short course,Primary instructor for a full course
,librarian,ZA,"Education, Humanities, Library and information science, Social sciences",,A workshop,Other
,,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Medicine, Psychology/neuroscience",,A certification or short course,Primary instructor for a full course
group_name,undisclosed,AU,,,A workshop,A few hours
group_name,support,ZA,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",,None,Other
group_name,support,ZA,Library and information science,,Other,Primary instructor for a full course
group_name,,ET,"Economics/business, Education",organizer,Other,Other
,research,US,"Civil, mechanical, chemical, or nuclear engineering, Physics","helper, instructor",None,A few hours
,faculty,FR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",,A workshop,Primary instructor for a full course
group_name,librarian,ZA,Library and information science,"helper, learner",A workshop,None
group_name,,AU,"Library and information science, Physics",,None,None
group_name,support,AU,"Education, High performance computing, Physics, Space sciences",,Other,Primary instructor for a full course
,grad,US,"Education, Genetics, genomics, bioinformatics",learner,A certification or short course,Other
,faculty,CA,"Computer science/electrical engineering, Psychology/neuroscience","helper, contributor",A few hours,Primary instructor for a full course
,faculty,GB,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",,A full degree,Primary instructor for a full course
group_name,undisclosed,ET,,learner,A workshop,Primary instructor for a full course
,postdoc,US,"Education, High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Primary instructor for a full course
,postdoc,NG,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,Other,Primary instructor for a full course
group_name,postdoc,US,"Computer science/electrical engineering, Mathematics/statistics, Psychology/neuroscience",,A workshop,A few hours
,research,ES,"Genetics, genomics, bioinformatics",helper,A certification or short course,Primary instructor for a full course
group_name,postdoc,ZA,"High performance computing, Mathematics/statistics, Physics, Space sciences",organizer,None,None
,grad,CA,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Psychology/neuroscience",,A certification or short course,Primary instructor for a full course
,research,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",,A workshop,None
,,NZ,"Computer science/electrical engineering, Economics/business, Mathematics/statistics",,A workshop,Primary instructor for a full course
,faculty,US,"Computer science/electrical engineering, Library and information science","helper, learner",A workshop,Primary instructor for a full course
,,US,Education,"helper, host, organizer",A workshop,A few hours
,,GB,"Genetics, genomics, bioinformatics, Medicine",learner,Other,Primary instructor for a full course
group_name,faculty,ET,"Computer science/electrical engineering, Education",learner,A certification or short course,Primary instructor for a full course
group_name,undergrad,ET,"Civil, mechanical, chemical, or nuclear engineering",helper,None,Other
,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",None,Primary instructor for a full course
,postdoc,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",,None,A few hours
group_name,grad,US,"High performance computing, Mathematics/statistics, Social sciences",,None,None
,postdoc,ZA,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,None,A few hours
,research,GB,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,None,A few hours
group_name,research,US,"Computer science/electrical engineering, Mathematics/statistics",helper,A few hours,Primary instructor for a full course
,research,US,"Civil, mechanical, chemical, or nuclear engineering, Mathematics/statistics, Physics",learner,Other,Primary instructor for a full course
group_name,support,US,"Computer science/electrical engineering, High performance computing",,A few hours,Primary instructor for a full course
group_name,undisclosed,CA,Computer science/electrical engineering,learner,A workshop,A few hours
group_name,research,GB,Computer science/electrical engineering,helper,A workshop,Primary instructor for a full course
,postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",,None,None
group_name,faculty,AU,Psychology/neuroscience,,A certification or short course,Primary instructor for a full course
,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",,None,Primary instructor for a full course
group_name,,US,Computer science/electrical engineering,,A workshop,Primary instructor for a full course
,grad,CA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",None,A few hours
,grad,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing","helper, instructor, learner, contributor",A few hours,Primary instructor for a full course
group_name,undisclosed,GB,Computer science/electrical engineering,,A certification or short course,A few hours
,grad,US,,"helper, instructor, learner",None,A few hours
,,GB,Social sciences,learner,None,Primary instructor for a full course
group_name,research,GB,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",helper,A workshop,Primary instructor for a full course
,undergrad,IN,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, Mathematics/statistics, Medicine",learner,A few hours,A few hours
,grad,US,"Education, Humanities, Library and information science",learner,A full degree,Primary instructor for a full course
,grad,GB,"Civil, mechanical, chemical, or nuclear engineering",learner,None,A few hours
,commerce,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",,None,Primary instructor for a full course
,research,US,"Mathematics/statistics, Physics",helper,A workshop,Primary instructor for a full course
group_name,postdoc,CA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A few hours,Primary instructor for a full course
group_name,research,US,"Library and information science, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner, contributor",A workshop,A few hours
,faculty,EG,"Genetics, genomics, bioinformatics",learner,None,Primary instructor for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics, High performance computing","host, learner, organizer",None,Primary instructor for a full course
group_name,research,US,"Genetics, genomics, bioinformatics, Mathematics/statistics",helper,A certification or short course,Primary instructor for a full course
group_name,research,MX,"Chemistry, Genetics, genomics, bioinformatics",organizer,A certification or short course,Primary instructor for a full course
group_name,research,MX,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",helper,None,Primary instructor for a full course
group_name,support,MX,Computer science/electrical engineering,helper,None,None
group_name,librarian,US,Library and information science,learner,A few hours,Primary instructor for a full course
,support,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",learner,A few hours,A few hours
group_name,research,MX,"Genetics, genomics, bioinformatics",,None,Primary instructor for a full course
,research,US,"Education, Genetics, genomics, bioinformatics, High performance computing",,None,None
group_name,support,MX,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, High performance computing",organizer,None,Primary instructor for a full course
group_name,grad,MX,Mathematics/statistics,,None,None
group_name,faculty,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A workshop,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",,Other,Other
group_name,postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A workshop,Primary instructor for a full course
,research,FR,"Chemistry, Genetics, genomics, bioinformatics","helper, instructor, organizer, contributor",None,Primary instructor for a full course
group_name,commerce,US,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Psychology/neuroscience",helper,A workshop,Other
,faculty,CA,"Computer science/electrical engineering, Education",,A certification or short course,Primary instructor for a full course
group_name,librarian,CA,Library and information science,learner,Other,None
group_name,faculty,US,"Economics/business, Mathematics/statistics",contributor,A certification or short course,Primary instructor for a full course
group_name,postdoc,DE,"High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",contributor,None,Primary instructor for a full course
group_name,,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A workshop,A few hours
group_name,support,MX,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",organizer,None,None
group_name,grad,MX,"Genetics, genomics, bioinformatics",,None,Primary instructor for a full course
,librarian,US,Library and information science,learner,None,A few hours
group_name,grad,US,"Economics/business, Education, Mathematics/statistics",learner,Other,Primary instructor for a full course
,,US,"Education, High performance computing, Mathematics/statistics",,None,Primary instructor for a full course
group_name,research,MX,"Chemistry, Genetics, genomics, bioinformatics",organizer,A certification or short course,Primary instructor for a full course
,faculty,ID,"Computer science/electrical engineering, Physics","learner, organizer, contributor",A workshop,Primary instructor for a full course
,,US,Economics/business,,None,A few hours
,faculty,US,"Education, Psychology/neuroscience, Social sciences",,A full degree,Primary instructor for a full course
group_name,grad,MX,"Genetics, genomics, bioinformatics",learner,A few hours,A few hours
group_name,research,US,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics","helper, learner",A workshop,A few hours
group_name,grad,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,None
,grad,GB,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,Other
,research,US,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics, High performance computing",learner,None,None
group_name,,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,Other,Primary instructor for a full course
group_name,undisclosed,AU,"Computer science/electrical engineering, High performance computing","helper, learner",None,None
group_name,grad,AU,"Planetary sciences (geology, climatology, oceanography, etc.)","helper, learner",A certification or short course,A few hours
,librarian,AU,Library and information science,"helper, learner",A workshop,Primary instructor for a full course
group_name,research,AU,"Organismal biology (ecology, botany, zoology, microbiology)","helper, learner, contributor",A few hours,A few hours
group_name,support,AU,Computer science/electrical engineering,helper,None,A few hours
group_name,undisclosed,AU,,,None,None
group_name,research,AU,"Genetics, genomics, bioinformatics",learner,None,A few hours
,faculty,AU,Library and information science,learner,A few hours,A few hours
group_name,support,AU,"High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor",A workshop,A few hours
,librarian,AU,Library and information science,,None,None
group_name,grad,AU,"Chemistry, Genetics, genomics, bioinformatics",helper,None,A few hours
group_name,librarian,AU,,"helper, learner",A workshop,Other
group_name,research,AU,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing",helper,A few hours,A few hours
group_name,support,AU,"Genetics, genomics, bioinformatics, High performance computing","helper, learner",None,A few hours
,postdoc,GB,Physics,,None,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor",None,A few hours
group_name,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,None,Primary instructor for a full course
group_name,undisclosed,US,,,None,None
group_name,research,US,"Planetary sciences (geology, climatology, oceanography, etc.)",contributor,A full degree,Primary instructor for a full course
group_name,grad,US,Mathematics/statistics,contributor,A workshop,Primary instructor for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics, Psychology/neuroscience",,None,Other
group_name,postdoc,GB,Computer science/electrical engineering,learner,A certification or short course,Other
group_name,faculty,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",instructor,A workshop,Primary instructor for a full course
,grad,US,"Chemistry, Computer science/electrical engineering, Physics",,A workshop,Primary instructor for a full course
group_name,grad,US,Mathematics/statistics,learner,None,Primary instructor for a full course
group_name,,US,"Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,Other
,support,AU,,,A certification or short course,Other
group_name,postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",None,Other
group_name,faculty,US,"Education, Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, learner, organizer",A workshop,Other
