Date,WhenTaking,MemberSite,MemberSiteOther,UniqueID,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,NewInformation,LiveCodingPostAbility,WebsitePostAbility,ConceptMapsPostAbility,MCQPostAbility,LearningObjectivesPostAbility,KnowledgeFormativeAssessmentPost,KnowledgeFeedbackPost,KnowledgeNovicePost,KnowledgeHumanMemoryPost,KnowledgeCognitiveLoadPost,KnowledgeCarpentriesPost,KnowledgeMotivationStrategiesPost,MotivationFormativeAssessmentPost,MotivationFeedbackPost,MotivationNovicePost,MotivationHumanMemoryPost,MotivationCognitiveLoadPost,MotivationCarpentriesPost,MotivationMotivationStrategiesPost,CompleteTraining,CompleteTrainingOther,LikelyToRecommend,Workshop ID
2/6/18 19:58,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
2/6/18 20:01,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
2/6/18 20:05,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
2/6/18 20:04,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
2/6/18 19:59,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Slightly slow,Slightly too much lecture,Often,Often,Often,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
2/6/18 20:00,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,7,
2/6/18 19:49,"I have just completed the training, and am taking it at the event","Feb 5-6, 2018 (US/Pacific)",,,Agree,Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,Often,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
2/1/18 14:32,"I have recently completed the training, and am taking it after I left the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 19:20,"I have recently completed the training, and am taking it after I left the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
1/31/18 18:06,"I have recently completed the training, and am taking it after I left the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Slightly fast,Slightly too much lecture,Often,All of the time,Often,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
1/31/18 17:14,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
1/31/18 17:11,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 17:05,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 17:03,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
1/31/18 17:05,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),Often,Often,Often,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
1/31/18 16:57,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
1/31/18 16:52,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
1/31/18 17:08,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
2/9/18 8:43,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
1/31/18 16:46,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,10,
1/31/18 16:45,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (US/Eastern)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly slow,Too much lecture,Often,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,10,
1/31/18 11:45,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
1/31/18 11:46,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,Sometimes,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,7,
1/31/18 11:38,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Too slow,Too much hands-on,Often,Often,Often,Sometimes,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,6,
1/31/18 11:40,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,7,
1/31/18 11:35,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Slightly too much lecture,Often,All of the time,All of the time,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,,
1/31/18 11:39,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,Often,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 11:35,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,Often,Often,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 11:36,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,Often,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 11:36,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
1/31/18 11:34,"I have just completed the training, and am taking it at the event","Jan 30-31, 2018 (UK)",,,Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,Often,Often,Sometimes,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
12/16/17 0:59,"I have recently completed the training, and am taking it after I left the event","Dec 12-13, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
12/15/17 17:16,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/17 17:17,"I have just completed the training, and am taking it at the event",My training event is not listed,"Dec 14-15, University of Illinois at Urbana-Champaign",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 18:58,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,Often,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 19:14,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 19:00,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,7,
12/13/17 18:44,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,7,
12/13/17 18:53,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 18:41,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,8,
12/13/17 18:43,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Just right,Too much hands-on,Often,Often,Sometimes,Often,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 18:38,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 18:39,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 18:40,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
12/13/17 18:41,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,Often,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,7,
12/13/17 18:38,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,5,
12/13/17 18:20,"I have just completed the training, and am taking it at the event","Dec 12-13, 2017   (USA: on-line event)",,,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Too slow,Too much hands-on,All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,5,
12/6/17 4:51,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/17 11:24,"I have just completed the training, and am taking it at the event","Dec 4-5, 2017 (Europe: on-line event)",,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,10,
12/5/17 11:24,"I have just completed the training, and am taking it at the event","Dec 4-5, 2017 (Europe: on-line event)",,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Too slow,Slightly too much lecture,All of the time,Often,Often,Sometimes,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,6,
12/5/17 11:18,"I have just completed the training, and am taking it at the event","Dec 4-5, 2017 (Europe: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much lecture,Often,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/29/17 16:54,"I have recently completed the training, and am taking it after I left the event","Nov 15-16, 2017 (Stanford)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/18 4:28,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly slow,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,9,
6/12/18 10:44,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly slow,Slightly too much lecture,Sometimes,All of the time,Often,,About half of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,6,
6/10/18 17:41,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
6/9/18 12:46,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
6/8/18 18:40,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
6/15/18 2:45,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,8,
6/4/18 15:24,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/16/17 20:09,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
6/9/18 10:52,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,7,
11/16/17 20:04,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,All of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
6/10/18 23:10,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
6/10/18 12:11,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
6/11/18 8:28,"I have just completed the training, and am taking it at the event","Nov 15-16, 2017 (Stanford)",,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly slow,Slightly too much lecture,All of the time,All of the time,Often,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/15/17 17:12,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/15/17 17:00,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/15/17 16:52,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,Often,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/15/17 17:14,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,6,
11/15/17 16:48,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/15/17 16:47,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/15/17 16:45,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,Often,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/15/17 16:44,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Agree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,Often,Often,Often,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/15/17 16:46,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Slightly too much lecture,Often,All of the time,Often,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/15/17 16:42,"I have just completed the training, and am taking it at the event","Nov 14-15, 2017   (USA: on-line event)",,,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,Often,Often,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/8/17 14:47,"I have recently completed the training, and am taking it after I left the event",My training event is not listed,"November 2-3, 2017",,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,10,
11/8/17 13:43,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/17 11:23,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,6,
11/8/17 11:18,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Some of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/8/17 11:19,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,Often,Often,All of the time,All of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/8/17 11:17,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/8/17 11:17,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Too slow,Too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/8/17 11:18,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Just right,Slightly too much lecture,Often,All of the time,All of the time,All of the time,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/8/17 11:18,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Disagree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,Often,About half of it,,,,,,,,,,,,,,,,,,,,"Yes, I understand",,8,
11/8/17 11:20,"I have just completed the training, and am taking it at the event","Nov 6-7, 2017 (Netherlands eScience)",,,Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Just right,Slightly too much lecture,Often,Often,Often,Often,About half of it,,,,,,,,,,,,,,,,,,,,Could use some more details,,6,
